UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1004,1004,4645,test_user5,testing,test_user5-Tdul,3,2025-07-31T10:15:42,2025-07-31T13:43:01,2025-07-31T13:46:17,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:15:42,,00:00:00,250880,196,,,,normal,0,/home/test_user5/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:0,,,10M,10,10,03:27:19,7960960,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1015,1015,4646,test_user16,testing,test_user16-fTYQ,8,2025-07-31T10:15:47,2025-07-31T13:46:17,2025-07-31T13:54:22,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:15:47,,00:00:00,186240,485,,,,normal,0,/home/test_user16/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,03:30:30,2424960,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
1010,1010,4647,test_user11,testing,test_user11-EEOV,4,2025-07-31T10:15:56,2025-07-31T13:46:17,2025-07-31T13:49:28,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:15:56,,00:00:00,171136,191,,,,normal,0,/home/test_user11/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,03:30:21,5654208,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1018,1018,4648,test_user19,testing,test_user19-yfKm,4,2025-07-31T10:16:29,2025-07-31T13:47:17,2025-07-31T13:50:10,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:16:29,,00:00:00,221440,173,,,,normal,0,/home/test_user19/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:0,,,10M,10,10,03:30:48,8094720,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1011,1011,4649,test_user12,testing,test_user12-zq43,10,2025-07-31T10:16:40,2025-07-31T13:49:28,2025-07-31T13:58:52,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:16:40,,00:00:00,216576,564,,,,normal,0,/home/test_user12/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:0,,,3M,3,3,03:32:48,2451456,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
1016,1016,4650,test_user17,testing,test_user17-gqeO,4,2025-07-31T10:16:43,2025-07-31T13:50:10,2025-07-31T13:52:45,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:16:43,,00:00:00,178560,155,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:0,,,9M,9,9,03:33:27,7376832,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
1006,1006,4651,test_user7,testing,test_user7-jOlg,8,2025-07-31T10:16:44,2025-07-31T13:50:56,2025-07-31T13:53:25,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:16:44,,00:00:00,76288,149,,,,normal,0,/home/test_user7/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,03:34:12,3290112,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
1003,1003,4652,test_user4,testing,test_user4-H8UP,1,2025-07-31T10:16:56,2025-07-31T12:33:56,2025-07-31T12:35:21,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:16:56,,00:00:00,54400,85,,,,normal,0,/home/test_user4/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:15,,,5M,5,5,02:17:00,2630400,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedBackfill;StartReceived,,,
1000,1000,4653,test_user1,testing,test_user1-Q36T,6,2025-07-31T10:17:09,2025-07-31T13:52:45,2025-07-31T13:58:52,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:17:09,,00:00:00,281856,367,,,,normal,0,/home/test_user1/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:15,,,6M,6,6,03:35:36,4967424,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1010,1010,4654,test_user11,testing,test_user11-GPyM,1,2025-07-31T10:17:13,2025-07-31T13:07:57,2025-07-31T13:09:22,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:17:13,,00:00:00,43520,85,,,,normal,0,/home/test_user11/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:15,,,4M,4,4,02:50:44,2622464,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedBackfill;StartReceived,,,
1008,1008,4655,test_user9,testing,test_user9-68wX,10,2025-07-31T10:17:21,2025-07-31T13:54:25,2025-07-31T13:58:14,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:17:21,,00:00:00,205184,229,,,,normal,0,/home/test_user9/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,03:37:04,5834752,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1017,1017,4656,test_user18,testing,test_user18-IfM9,7,2025-07-31T10:17:23,2025-07-31T13:29:57,2025-07-31T13:33:51,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:17:23,,00:00:00,89856,234,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:0,,,3M,3,3,03:12:34,2218368,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedBackfill;StartReceived,,,
1012,1012,4657,test_user13,testing,test_user13-nJND,4,2025-07-31T10:17:30,2025-07-31T13:58:52,2025-07-31T14:01:27,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:17:30,,00:00:00,198400,155,,,,normal,0,/home/test_user13/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:0,,,10M,10,10,03:41:22,8500480,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1001,1001,4658,test_user2,testing,test_user2-o5Xd,8,2025-07-31T10:17:35,2025-07-31T13:59:26,2025-07-31T14:02:52,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:17:35,,00:00:00,263680,206,,,,normal,0,/home/test_user2/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:0,,,10M,10,10,03:41:51,8519040,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1005,1005,4659,test_user6,testing,test_user6-0Ny3,6,2025-07-31T10:17:49,2025-07-31T14:01:27,2025-07-31T14:07:52,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:17:49,,00:00:00,394240,385,,,,normal,0,/home/test_user6/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:15,,,8M,8,8,03:43:38,6870016,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
