Job ID,User ID,Queue Time,Start Time,End Time,Total Nodes Requested,Total CPU Cores Requested,Total Memory Requested (MB),Expected Duration (Sim Units),Assigned Node 1 ID,Assigned Node 1 Cores,Assigned Node 1 Mem (MB),Assigned Node 2 ID,Assigned Node 2 Cores,Assigned Node 2 Mem (MB),Additional Assigned Details
168,1,2002-07-28 01:06:52,2002-07-28 01:06:52,2002-07-28 01:06:54,1,2,NA,2,6,2,328313,,,,
161,1,2002-07-28 01:06:45,2002-07-28 01:06:45,2002-07-28 01:06:55,2,4,NA,10,3,2,916436,8,2,916436,
167,8,2002-07-28 01:06:51,2002-07-28 01:06:51,2002-07-28 01:06:55,3,6,NA,4,1,2,453012,9,2,453012,6;2;453012
169,3,2002-07-28 01:06:53,2002-07-28 01:06:53,2002-07-28 01:06:55,3,6,NA,2,2,2,348790,7,2,348790,7;2;348790
166,1,2002-07-28 01:06:50,2002-07-28 01:06:50,2002-07-28 01:06:57,4,8,NA,7,10,2,834739,4,2,834739,5;2;834739#11;2;834739
165,10,2002-07-28 01:06:49,2002-07-28 01:06:49,2002-07-28 01:06:58,2,4,NA,9,9,2,133939,10,2,133939,
172,6,2002-07-28 01:06:56,2002-07-28 01:06:56,2002-07-28 01:06:58,2,4,NA,2,3,2,879915,6,2,879915,
175,3,2002-07-28 01:06:59,2002-07-28 01:06:59,2002-07-28 01:07:01,4,8,NA,2,3,2,784820,5,2,784820,6;2;784820#7;2;784820
171,10,2002-07-28 01:06:55,2002-07-28 01:06:55,2002-07-28 01:07:02,3,6,NA,7,9,2,481688,1,2,481688,1;2;481688
174,9,2002-07-28 01:06:58,2002-07-28 01:06:58,2002-07-28 01:07:02,1,2,NA,4,4,2,572677,,,,
170,10,2002-07-28 01:06:54,2002-07-28 01:06:54,2002-07-28 01:07:04,4,8,NA,10,2,2,655455,12,2,655455,13;2;655455#14;2;655455
173,9,2002-07-28 01:06:57,2002-07-28 01:06:57,2002-07-28 01:07:06,2,4,NA,9,10,2,453043,4,2,453043,
176,6,2002-07-28 01:07:00,2002-07-28 01:07:00,2002-07-28 01:07:06,3,6,NA,6,10,2,569987,8,2,569987,11;2;569987
178,3,2002-07-28 01:07:02,2002-07-28 01:07:02,2002-07-28 01:07:07,2,4,NA,5,1,2,827293,6,2,827293,
179,1,2002-07-28 01:07:03,2002-07-28 01:07:03,2002-07-28 01:07:07,4,8,NA,4,7,2,918859,9,2,918859,15;2;918859#16;2;918859
182,7,2002-07-28 01:07:06,2002-07-28 01:07:06,2002-07-28 01:07:08,4,8,NA,2,1,2,141190,6,2,141190,17;2;141190#18;2;141190
177,8,2002-07-28 01:07:01,2002-07-28 01:07:01,2002-07-28 01:07:09,2,4,NA,8,3,2,646523,5,2,646523,
181,7,2002-07-28 01:07:05,2002-07-28 01:07:05,2002-07-28 01:07:10,2,4,NA,5,17,2,768990,18,2,768990,
183,7,2002-07-28 01:07:07,2002-07-28 01:07:07,2002-07-28 01:07:12,3,6,NA,5,1,2,526474,6,2,526474,4;2;526474
180,2,2002-07-28 01:07:04,2002-07-28 01:07:04,2002-07-28 01:07:13,4,8,NA,9,2,2,686761,12,2,686761,13;2;686761#14;2;686761
188,8,2002-07-28 01:07:12,2002-07-28 01:07:12,2002-07-28 01:07:13,1,2,NA,1,1,2,511147,,,,
186,5,2002-07-28 01:07:10,2002-07-28 01:07:10,2002-07-28 01:07:14,1,2,NA,4,11,2,978698,,,,
184,2,2002-07-28 01:07:08,2002-07-28 01:07:08,2002-07-28 01:07:15,2,4,NA,7,7,2,751378,8,2,751378,
189,10,2002-07-28 01:07:13,2002-07-28 01:07:13,2002-07-28 01:07:18,2,4,NA,5,1,2,461789,1,2,461789,
185,5,2002-07-28 01:07:09,2002-07-28 01:07:09,2002-07-28 01:07:19,4,8,NA,10,3,2,865674,5,2,865674,9;2;865674#10;2;865674
194,9,2002-07-28 01:07:18,2002-07-28 01:07:18,2002-07-28 01:07:19,4,8,NA,1,1,2,394363,1,2,394363,12;2;394363#12;2;394363
192,2,2002-07-28 01:07:16,2002-07-28 01:07:16,2002-07-28 01:07:20,3,6,NA,4,7,2,422025,7,2,422025,8;2;422025
