Diffsec,Nodes,State,Backfilled
82,8,COMPLETED,no
87,10,COMPLETED,no
89,10,COMPLETED,no
104,2,COMPLETED,yes
110,5,COMPLETED,no
75,1,COMPLETED,no
69,4,COMPLETED,no
85,9,COMPLETED,no
117,3,COMPLETED,no
78,1,COMPLETED,yes
106,1,COMPLETED,no
58,4,COMPLETED,no
61,3,COMPLETED,no
80,5,COMPLETED,no
58,5,COMPLETED,no
109,8,COMPLETED,no
97,9,COMPLETED,no
67,10,COMPLETED,no
62,1,COMPLETED,yes
92,1,COMPLETED,yes
70,4,COMPLETED,no
76,10,COMPLETED,no
111,7,COMPLETED,no
65,3,COMPLETED,no
65,5,COMPLETED,no
103,9,COMPLETED,no
89,5,COMPLETED,no
79,7,COMPLETED,no
90,9,COMPLETED,no
82,10,COMPLETED,no
111,9,COMPLETED,no
88,1,COMPLETED,yes
117,4,COMPLETED,no
100,8,COMPLETED,no
69,1,COMPLETED,yes
106,9,COMPLETED,no
112,2,COMPLETED,yes
90,4,COMPLETED,yes
60,9,COMPLETED,no
61,7,COMPLETED,no
117,7,COMPLETED,no
106,4,COMPLETED,yes
86,2,COMPLETED,no
83,9,COMPLETED,no
75,4,COMPLETED,no
93,5,COMPLETED,no
108,9,COMPLETED,no
113,7,COMPLETED,no
114,2,COMPLETED,yes
114,7,COMPLETED,no
75,5,COMPLETED,no
