UID|GID|JobIDRaw|Group|Account|JobName|TimelimitRaw|Submit|Start|End|State|ExitCode|ReservationId|Reservation|Priority|Eligible|Constraints|SystemCPU|CPUTimeRAW|ElapsedRaw|Layout|NTasks|QOSREQ|QOS|Restarts|WorkDir|ConsumedEnergyRaw|FailedNode|AveDiskRead|AveDiskWrite|MaxDiskRead|MaxDiskWrite|Partition|Reason|Suspended|AllocNodes|AveRSS|MaxRSS|DerivedExitCode|AveVMSize|MaxVMSize|ReqMem|ReqNodes|NNodes|Planned|PlannedCPURAW|NCPUS|UserCPU|ReqCPUS|TotalCPU|TRESUsageInTot|TRESUsageOutTot|ReqTRES|AllocTRES|TRESUsageInMax|TRESUsageOutMax|Flags|Comment|SystemComment|AdminComment
||466.0||testing|mpicatnap||2025-07-29T17:34:10|2025-07-29T17:34:10|2025-07-29T18:50:10|COMPLETED|0:0||||2025-07-29T17:34:10||00:00:00|291840|4560|Block|64|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
1013|1013|467|test_user14|testing|test_user14-nXJy|53|2025-07-29T17:08:04|2025-07-29T19:25:54|2025-07-29T19:44:06|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:04||00:00:00|838656|1092||||normal|0|/home/test_user14/stochsimsched|||||||batch-cpu|None|00:00:00|6|||0:0|||6M|6|6|02:17:50|3175680|768|00:00:00|384|00:00:00|||billing=384,cpu=384,mem=6M,node=6|billing=768,cpu=768,node=6|||SchedMain,StartReceived|||
||467.batch||testing|batch||2025-07-29T19:25:54|2025-07-29T19:25:54|2025-07-29T19:44:06|COMPLETED|0:0||||2025-07-29T19:25:54||00:00:00|69888|1092|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||467.extern||testing|extern||2025-07-29T19:25:54|2025-07-29T19:25:54|2025-07-29T19:44:06|COMPLETED|0:0||||2025-07-29T19:25:54||00:00:00|838656|1092|Unknown|6|||||0||||||||00:00:00|6|||||||6|6|||768|00:00:00|768|00:00:00||||billing=768,cpu=768,node=6||||||
||467.0||testing|mpicatnap||2025-07-29T19:25:55|2025-07-29T19:25:55|2025-07-29T19:44:06|COMPLETED|0:0||||2025-07-29T19:25:55||00:00:00|418944|1091|Block|384|||||0||||||||00:00:00|6|||||||6|6|||384|00:00:00|384|00:00:00||||cpu=384,mem=0,node=6||||||
1000|1000|468|test_user1|testing|test_user1-vXVX|49|2025-07-29T17:08:04|2025-07-29T19:34:34|2025-07-29T19:45:17|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:05||00:00:00|576128|643||||normal|0|/home/test_user1/stochsimsched|||||||batch-cpu|None|00:00:00|7|||0:0|||7M|7|7|02:26:29|3937472|896|00:00:00|448|00:00:00|||billing=448,cpu=448,mem=7M,node=7|billing=896,cpu=896,node=7|||SchedMain,StartReceived|||
||468.batch||testing|batch||2025-07-29T19:34:34|2025-07-29T19:34:34|2025-07-29T19:45:17|COMPLETED|0:0||||2025-07-29T19:34:34||00:00:00|41152|643|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||468.extern||testing|extern||2025-07-29T19:34:34|2025-07-29T19:34:34|2025-07-29T19:45:17|COMPLETED|0:0||||2025-07-29T19:34:34||00:00:00|576128|643|Unknown|7|||||0||||||||00:00:00|7|||||||7|7|||896|00:00:00|896|00:00:00||||billing=896,cpu=896,node=7||||||
||468.0||testing|mpicatnap||2025-07-29T19:34:34|2025-07-29T19:34:34|2025-07-29T19:45:17|COMPLETED|0:0||||2025-07-29T19:34:34||00:00:00|288064|643|Block|448|||||0||||||||00:00:00|7|||||||7|7|||448|00:00:00|448|00:00:00||||cpu=448,mem=0,node=7||||||
1009|1009|469|test_user10|testing|test_user10-EfUZ|86|2025-07-29T17:08:05|2025-07-29T19:45:17|2025-07-29T20:26:12|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:05||00:00:00|2513920|2455||||normal|0|/home/test_user10/stochsimsched|||||||batch-cpu|None|00:00:00|8|||0:0|||8M|8|8|02:37:12|4829184|1024|00:00:00|512|00:00:00|||billing=512,cpu=512,mem=8M,node=8|billing=1024,cpu=1024,node=8|||SchedMain,StartReceived|||
||469.batch||testing|batch||2025-07-29T19:45:17|2025-07-29T19:45:17|2025-07-29T20:26:12|COMPLETED|0:0||||2025-07-29T19:45:17||00:00:00|157120|2455|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||469.extern||testing|extern||2025-07-29T19:45:17|2025-07-29T19:45:17|2025-07-29T20:26:12|COMPLETED|0:0||||2025-07-29T19:45:17||00:00:00|2513920|2455|Unknown|8|||||0||||||||00:00:00|8|||||||8|8|||1024|00:00:00|1024|00:00:00||||billing=1024,cpu=1024,node=8||||||
||469.0||testing|mpicatnap||2025-07-29T19:45:17|2025-07-29T19:45:17|2025-07-29T20:26:12|COMPLETED|0:0||||2025-07-29T19:45:17||00:00:00|1256960|2455|Block|512|||||0||||||||00:00:00|8|||||||8|8|||512|00:00:00|512|00:00:00||||cpu=512,mem=0,node=8||||||
1002|1002|470|test_user3|testing|test_user3-FfPb|77|2025-07-29T17:08:05|2025-07-29T20:01:45|2025-07-29T21:07:14|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:05||00:00:00|3520384|3929||||normal|0|/home/test_user3/stochsimsched|||||||batch-cpu|None|00:00:00|7|||0:0|||7M|7|7|02:53:40|4668160|896|00:00:00|448|00:00:00|||billing=448,cpu=448,mem=7M,node=7|billing=896,cpu=896,node=7|||SchedMain,StartReceived|||
||470.batch||testing|batch||2025-07-29T20:01:45|2025-07-29T20:01:45|2025-07-29T21:07:14|COMPLETED|0:0||||2025-07-29T20:01:45||00:00:00|251456|3929|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||470.extern||testing|extern||2025-07-29T20:01:45|2025-07-29T20:01:45|2025-07-29T21:07:14|COMPLETED|0:0||||2025-07-29T20:01:45||00:00:00|3520384|3929|Unknown|7|||||0||||||||00:00:00|7|||||||7|7|||896|00:00:00|896|00:00:00||||billing=896,cpu=896,node=7||||||
||470.0||testing|mpicatnap||2025-07-29T20:01:45|2025-07-29T20:01:45|2025-07-29T21:07:14|COMPLETED|0:0||||2025-07-29T20:01:45||00:00:00|1760192|3929|Block|448|||||0||||||||00:00:00|7|||||||7|7|||448|00:00:00|448|00:00:00||||cpu=448,mem=0,node=7||||||
1011|1011|471|test_user12|testing|test_user12-0OTy|29|2025-07-29T17:08:05|2025-07-29T17:08:09|2025-07-29T17:33:55|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:05||00:00:00|395776|1546||||normal|0|/home/test_user12/stochsimsched|||||||batch-cpu|None|00:00:00|2|||0:0|||2M|2|2|00:00:04|512|256|00:00:00|128|00:00:00|||billing=128,cpu=128,mem=2M,node=2|billing=256,cpu=256,node=2|||SchedBackfill,StartReceived|||
||471.batch||testing|batch||2025-07-29T17:08:09|2025-07-29T17:08:09|2025-07-29T17:33:55|COMPLETED|0:0||||2025-07-29T17:08:09||00:00:00|98944|1546|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
